name;track_len;artist(s);Explicit_content;monthly_listens_total
Царица;3:35;ANNA ASTI;0;4847753
Плохая Девочка;2:15;Винтаж ТРАВМА SKIDRI DVRKLXGHT;0;16677658
Я плачу;1:54;A.V.G;0;4406023
ASPHALT 8;2:15;MACAN;0;5149399
Где прошла ты;2:48;Кравц Гио Пика;0;9058111
По весне;2:29;Jakone SCIRENA;0;7249592
Не вспоминай;2:53;NILETTO Олег Майами Лёша Свик;0;9595600
Поспешили;2:06;MACAN Jakone;0;9094105
Чёрный Русский;2:20;MORGENSHTERN;1;2857140
Танцы;2:58;NLO;0;3332520
money;2:41;By Индия The Limba;0;8014390
Dying 2 Live;2:41;Big Baby Tape;1;2370163
Давай сбежим (Искорки);2:31;5УТРА;0;2637779
ЗА ДЕНЬГИ ДА;1:59;INSTASAMKA;0;3888410
Кукла колдуна;3:23;Король и Шут;0;4805309
Самый пьяный округ в мире;2:06;MACAN;0;5149399
Госпожа;2:44;Adil;0;3152424
Поводы;2:22;WHITE GALLOWS Real Girl;0;4927621
Лига Опасного Интернета;2:20;Oxxxymiron;1;3246688
IVL;3:20;MACAN SCIRENA;0;8454285
Повело;2:52;ANNA ASTI;0;4847753
Дурак и молния;1:54;Король и Шут;0;4805309
Танцуй;2:25;Lover;1;903121
Факты;2:21;Markul OG Buda;1;5781554
Дай мне посмотреть;2:05;Heronwater BUSHIDO ZHO;1;3561752
Стрелы;2:56;Markul Тося Чайкина;0;5863514
ВМЕСТЕ;2:13;Aarne BUSHIDO ZHO;1;4344383
Ночью на кухне;3:52;ANNA ASTI;0;4847753
Воздушный Сарафан;3:03;JONY;0;5859275
